Ferm. Time (h),OD600,Fed rate (mL/h),Oil fed(mL),Residual oil (g/L),pH,pO2(%),Strring Speed(rpm),Work volume (mL),Titer (g/L),Weight yield of CA (g/g),Carbon yield of CA (g/g),Productivity of CA (g/L/h),Specific citrate (g/g biomass),Total of CA (g),Biomass total (g),KOH(mL),DCW g/L,Lipid_ratio,Lipid g/L,X_f g/L,Adjusted Volume (mL),F_S,F_B,adjust F_S,adjust F_B,Nitrogen
0,0.16,0,0,30,6.16,98.6,500,600,0,0,0,0,0,0,0,0,0.04,0.05,0.002,0.038,600,0,0,0,5.55E-17,5.00
5,3.9475,0,0,23.605,6.2625,66.86666667,546.3333333,581.5833333,0,0,0,0,0,0,0.166666667,0.333333333,0.986875,0.075,0.081010938,0.905864063,597.7776161,0.137654321,0.709876543,0.242956817,0.961125325,4.98
10,14.1225,0,0,14.655,6.8875,28.53333333,1009.666667,569.9166667,0,0,0,0,0,0,1.833333333,3.666666667,3.530625,0.1,0.360057813,3.170567188,598.6329274,1.514197531,1.141975309,2.672524983,2.195089199,4.86
23,67.97333333,3.655555556,20.64814815,5.167407407,6.940740741,33.4037037,1559.703704,584.0740741,8.425925926,0.138888889,0.064814815,0.351851852,0.453703704,4.935185185,10.33333333,18.81481481,16.99333333,0.165,2.869941667,14.12339167,628.6800879,3.846639232,0.499314129,6.378815553,1.9111987,2.89
28,140.4666667,4.396,38.38888889,7.182222222,6.94,29.83333333,1600,587.8333333,10.06,0.123333333,0.061111111,0.362222222,0.294444444,6.032222222,21.66666667,21.77777778,35.11666667,0.19,6.714833333,28.40183333,647.3483436,3.824691358,1.065255732,6.912837981,2.476332456,2.48
34,211.8571429,4.518,61.3,21.49,6.94,21.6,1600,600.8,13.55857143,0.135714286,0.067857143,0.399285714,0.254285714,8.414285714,33.21428571,28.28571429,52.96428571,0.284821429,15.48102679,37.48325893,674.4245697,4.145714286,1.942040816,8.033596247,3.770427987,1.97
47.5,264.52,3.81024,117.88,31.732,6.94,30.636,1600,660.65,28.4192,0.188,0.0892,0.5924,0.346,19.312,55.2,55.92,66.13,0.4204,27.8419,38.2881,753.6561007,3.0496,1.732114286,6.680708671,3.506689945,1.32
55,264,3.36,141,29.4,6.94,34,1600,542.5,35.46,0.18,0.09,0.64,0.5,24.09,49,69,66,0.446875,29.49375,36.50625,794.3295248,2.823529412,2.529411765,5.945656074,4.379560898,1.09
72,260,2.52,189,32.5,6.95,23.1,1427,610,58.58,0.24,0.12,0.81,0.77,41.12,53,112,65,0.5,32.5,32.5,878.8582133,1.789473684,1.578947368,3.606707572,2.699280882,0.79
80,254.1052632,2.449263158,203.3157895,29.21578947,6.95,26.63684211,1238.368421,620.3157895,65.37578947,0.248421053,0.12,0.818421053,0.862631579,46.69473684,53.84210526,124.6315789,63.52631579,0.511111111,32.46593567,31.06038012,902.3587525,1.153691852,1.87544178,2.689426063,2.928193534,0.71
95,251.137931,0.950068966,219.9655172,27.66896552,6.95,36.23793103,1014,641.5689655,80.67137931,0.287241379,0.13862069,0.847931034,1.056896552,58.97758621,55.86206897,153.0689655,62.78448276,0.531944444,33.39721025,29.38727251,940.8260518,0.898929845,1.788347206,2.198508233,2.727458383,0.61
102,248.3846154,0.84,226.2307692,22.16923077,6.95,42.44615385,1000,639,87.04461538,0.302307692,0.150769231,0.857692308,1.145384615,64.23307692,56,164.9230769,62.09615385,0.541666667,33.63157051,28.46458333,955.7873871,0.783037475,1.257149901,1.666836164,1.948855498,0.58
120,241,0.84,241,20.6,6.95,52.6,1000,654,99.46,0.33,0.16,0.83,1.33,74.83,56,188,60.25,0.566666667,34.14166667,26.10833333,985.2951499,0.333333333,0.958333333,0.771634922,1.329745523,0.56
140,225.1666667,0.84,247.6666667,20.51666667,6.95,54.51666667,1000,657.3333333,109.76,0.355,0.176666667,0.788333333,1.463333333,83.18833333,56.83333333,207.1666667,56.29166667,0.594444444,33.44027778,22.85138889,1001.489426,0.055555556,0.159722222,0.12860582,0.221624254,0.55
